date,event_description,location,category
1807-02-07,"Кровопролитное сражение при Прейсиш-Эйлау между французской армией Наполеона и русско-прусской армией под командованием Беннигсена. Исход битвы остался неясным, обе стороны понесли огромные потери.","Прейсиш-Эйлау, Восточная Пруссия (ныне Багратионовск, Россия)",Война
1807-06-14,"Сражение при Фридланде. Наполеон одержал решительную победу над русской армией Беннигсена.","Фридланд, Восточная Пруссия (ныне Правдинск, Россия)",Война
1807-07-07,"Тильзитский мир между Францией и Россией. Александр I признал завоевания Наполеона, обязался присоединиться к Континентальной блокаде и заключил союз с Францией. Образовано Герцогство Варшавское.","Тильзит, Восточная Пруссия (ныне Советск, Россия)",Дипломатия
1808-05-02,"Мадридское восстание против французской оккупации. Начало широкомасштабной партизанской войны (герильи) в Испании.","Мадрид, Испания",Война/Восстание
1809-04-10,"Австрия, стремясь взять реванш, объявляет войну Франции. Начало войны Пятой коалиции.","Вена, Австрия",Война
1809-07-05,"Битва при Ваграме. Наполеон нанес поражение австрийской армии эрцгерцога Карла.","Ваграм, Австрия",Война
1809-10-14,"Шёнбруннский мирный договор между Францией и Австрией. Австрия вновь уступила территории и подтвердила союз с Наполеоном.","Вена, Австрия",Дипломатия
1810-01-01,"Введение в действие Государственного совета в России по проекту М.М. Сперанского.","Санкт-Петербург, Россия",Политика/Реформы
1811-10-19,"Основание Императорского Царскосельского лицея под Санкт-Петербургом.","Царское Село, Россия",Образование/Культура
1812-03-29,"М.М. Сперанский, обвиненный в симпатиях к Франции, отправлен в ссылку. Усиление консервативных настроений перед войной.","Санкт-Петербург / Нижний Новгород, Россия",Политика
1812-04-05,"Швеция подписывает союзный договор с Россией против Наполеона.","Санкт-Петербург, Россия",Дипломатия
1812-05-28,"Бухарестский мирный договор между Россией и Османской империей, завершивший русско-турецкую войну 1806-1812 гг. Обезопасил южный фланг России перед вторжением Наполеона.","Бухарест, Валахия",Дипломатия
1812-06-18,"США объявляют войну Великобритании (Война 1812 года).","Вашингтон, США",Война
1812-06-24,"Великая армия Наполеона (около 450 тыс. человек) переходит реку Неман у Ковно (Каунаса), вторгаясь на территорию Российской империи. Начало Отечественной войны 1812 года.","р. Неман / Ковно, Россия (ныне Литва)",Война
1812-08-16,"Смоленское сражение. После двухдневных боев русская армия под командованием Барклая-де-Толли оставляет горящий Смоленск и продолжает отступление.","Смоленск, Россия",Война
1812-08-19,"Сражение у Валутиной горы (или при Лубино). Арьергардные бои отступающей русской армии.","Валутина Гора (близ Смоленска), Россия",Война
1812-08-29,"М. И. Кутузов назначен главнокомандующим русской армией.","Царёво-Займище, Россия",Политика/Война
1812-09-07,"Бородинское сражение. Главное сражение Отечественной войны 1812 года между русской армией Кутузова и Великой армией Наполеона. Обе стороны понесли тяжелейшие потери, Наполеон не смог разгромить русскую армию.","с. Бородино (Московская губ.), Россия",Война
1812-09-13,"Военный совет в Филях. Кутузов принимает решение оставить Москву без боя ради сохранения армии.","д. Фили (Московская губ.), Россия",Война
1812-09-14,"Французская армия вступает в оставленную русскую Москву. В городе начинаются пожары.","Москва, Россия",Война
1812-09-15,"Московский пожар охватывает большую часть города. Великая армия лишается продовольствия и зимних квартир.","Москва, Россия",Война/Происшествие
1812-10-18,"Сражение под Тарутино (или Винково). Авангард Мюрата атакован русскими войсками. Победа укрепила дух русской армии.","р. Чернишня (близ Тарутино), Россия",Война
1812-10-19,"Наполеон с главными силами покидает Москву, пытаясь пробиться на юг, к Калуге.","Москва, Россия",Война
1812-10-24,"Сражение за Малоярославец. Ожесточенные бои за город. Русская армия преградила Наполеону путь на Калугу, заставив отступать по разорённой Смоленской дороге.","Малоярославец, Россия",Война
1812-11-03,"Сражение под Вязьмой. Авангард русской армии (Милорадович, Платов) нанес поражение отступающим корпусам Даву, Нея и Богарне.","Вязьма, Россия",Война
1812-11-15,"Сражения под Красным. Серия боев, в ходе которых русская армия нанесла тяжелые потери отступающей Великой армии, особенно корпусу Нея.","Красный (Смоленская губ.), Россия",Война
1812-11-26,"Переправа через Березину. Остатки Великой армии с большими потерями форсируют реку под ударами русских армий Чичагова и Витгенштейна. Катастрофа для французов.","р. Березина (близ Борисова), Россия (ныне Беларусь)",Война
1812-12-05,"Наполеон оставляет остатки армии в Сморгони и уезжает в Париж. Командование передано Мюрату.","Сморгонь, Россия (ныне Беларусь)",Война/Политика
1812-12-14,"Последние остатки Великой армии переходят Неман, покидая пределы России. Фактическое завершение Отечественной войны 1812 года.","р. Неман / Ковно, Россия (ныне Литва)",Война
1813-01-13,"Русская армия под командованием Кутузова переходит Неман. Начало Заграничного похода русской армии 1813-1814 гг.","р. Неман",Война
1813-02-28,"Калишский союзный договор между Россией и Пруссией. Пруссия вступает в войну против Наполеона. Образование Шестой антифранцузской коалиции.","Калиш, Польша",Дипломатия/Война
1813-03-27,"Русско-прусские войска занимают Дрезден.","Дрезден, Саксония",Война
1813-04-28,"Смерть М. И. Кутузова в Бунцлау (Силезия). Главнокомандующим назначен П. Х. Витгенштейн.","Бунцлау, Пруссия (ныне Болеславец, Польша)",Война/Персоналии
1813-05-02,"Сражение при Лютцене. Наполеон нанес поражение русско-прусским войскам под командованием Витгенштейна.","Лютцен, Саксония",Война
1813-05-20,"Сражение при Бауцене. Наполеон одержал победу над союзниками, но не смог разгромить их армию. Союзники отступили в порядке.","Бауцен, Саксония",Война
1813-06-04,"Плейсвицкое перемирие между Наполеоном и союзниками. Обе стороны используют передышку для мобилизации сил.","Плейсвиц, Силезия",Дипломатия/Война
1813-08-12,"Австрия объявляет войну Франции, присоединяясь к Шестой коалиции.","Прага, Австрия (ныне Чехия)",Дипломатия/Война
1813-08-26,"Сражение при Дрездене. Наполеон одержал крупную победу над Главной Богемской армией союзников под командованием Шварценберга.","Дрезден, Саксония",Война
1813-08-30,"Сражение под Кульмом. Русский гвардейский корпус Остермана-Толстого и Ермолова остановил и разгромил преследующий корпус Вандама.","Кульм, Богемия (ныне Хлумец, Чехия)",Война
1813-09-06,"Сражение при Денневице. Прусские войска Бюлова при поддержке шведов разбили французский корпус Нея, шедший на Берлин.","Денневиц, Пруссия",Война
1813-10-16,"Начало 'Битвы народов' под Лейпцигом. Крупнейшее сражение Наполеоновских войн. Армии Наполеона противостоят объединенные силы России, Пруссии, Австрии и Швеции.","Лейпциг, Саксония",Война
1813-10-19,"Завершение 'Битвы народов' под Лейпцигом. Решительное поражение Наполеона. Союзники занимают Лейпциг. Саксония переходит на сторону коалиции.","Лейпциг, Саксония",Война
1814-01-01,"Союзные армии переходят Рейн, вторгаясь на территорию Франции. Начало кампании 1814 года.","р. Рейн",Война
1814-03-30,"Капитуляция Парижа после сражения у его стен.","Париж, Франция",Война
1814-03-31,"Союзные войска во главе с императором Александром I триумфально вступают в Париж.","Париж, Франция",Война/Политика
1814-04-06,"Наполеон I отрекается от престола в Фонтенбло в пользу своего сына.","Фонтенбло, Франция",Политика
1814-04-11,"Договор в Фонтенбло. Союзники сохраняют Наполеону титул императора и отдают ему во владение остров Эльба.","Фонтенбло, Франция",Дипломатия
1814-05-03,"Людовик XVIII Бурбон прибывает в Париж. Реставрация монархии во Франции.","Париж, Франция",Политика
1814-05-30,"Первый Парижский мирный договор. Франция возвращается к границам 1792 года.","Париж, Франция",Дипломатия
1814-09-18,"Начало Венского конгресса европейских держав для определения нового устройства Европы после Наполеоновских войн.","Вена, Австрия",Дипломатия/Политика
1815-03-01,"Наполеон высаживается с небольшим отрядом в бухте Жуан во Франции. Начало 'Ста дней'.","Бухта Жуан, Франция",Политика/Война
1815-03-20,"Наполеон вступает в Париж. Людовик XVIII бежит. Восстановление Империи.","Париж, Франция",Политика/Война
1815-03-25,"Державы Венского конгресса объявляют Наполеона вне закона и формируют Седьмую антифранцузскую коалицию.","Вена, Австрия",Дипломатия/Война
1815-06-09,"Подписан Заключительный акт Венского конгресса, перекроивший карту Европы и создавший 'Венскую систему' международных отношений.","Вена, Австрия",Дипломатия/Политика
1815-06-16,"Сражения при Катр-Бра и Линьи. Наполеон разбил пруссаков Блюхера при Линьи, но Ней не смог разгромить англо-голландцев Веллингтона при Катр-Бра.","Катр-Бра / Линьи, Бельгия",Война
1815-06-18,"Битва при Ватерлоо. Решающее поражение Наполеона от англо-голландской армии Веллингтона и прусской армии Блюхера.","Ватерлоо, Бельгия",Война
1815-06-22,"Наполеон вторично отрекается от престола в Париже.","Париж, Франция",Политика
1815-07-15,"Наполеон сдается англичанам на борту корабля 'Беллерофон'.","Атлантический океан (близ Рошфора)",Война/Политика
1815-09-26,"Подписание Акта Священного союза монархами России, Австрии и Пруссии с целью поддержания установленного порядка в Европе.","Париж, Франция",Дипломатия/Политика
1815-10-16,"Наполеон Бонапарт прибывает на остров Святой Елены, место своей последней ссылки.","Остров Святой Елены, Атлантический океан",Политика/Персоналии
1815-11-20,"Второй Парижский мирный договор. Более суровые условия для Франции: возвращение к границам 1790 г., контрибуция, оккупация части территории.","Париж, Франция",Дипломатия
1816-02-09,"Основание 'Союза спасения' в Санкт-Петербурге - первой тайной декабристской организации.","Санкт-Петербург, Россия",Общество/Политика
1818-01-01,"Образование 'Союза благоденствия' - более широкой тайной декабристской организации.","Москва / Санкт-Петербург, Россия",Общество/Политика
1821-05-05,"Смерть Наполеона Бонапарта на острове Святой Елены.","Остров Святой Елены, Атлантический океан",Персоналии
1825-12-01,"Смерть императора Александра I в Таганроге. Начало периода междуцарствия.","Таганрог, Россия",Политика/Персоналии
1825-12-26,"Восстание декабристов на Сенатской площади в Санкт-Петербурге. Попытка государственного переворота подавлена верными Николаю I войсками.","Санкт-Петербург, Россия",Восстание/Политика
